,title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
739,"3bdrm Maisonette in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,130000000.0,200,3,4,Unfurnished,1,Abuja,650000.0
740,"2bdrm Duplex in Copa Cabana Homes, Apo District for sale","Abuja (FCT), Apo District",Apo District,115000000.0,200,2,2,Unfurnished,1,Abuja,575000.0
741,"4bdrm Duplex in Maryland, Ikeja for sale","Lagos State, Ikeja",Ikeja,260000000.0,450,4,5,Unfurnished,1,Lagos,577778.0
742,"4bdrm Duplex in Ifako, Gbagada for sale","Lagos State, Gbagada",Gbagada,250000000.0,450,4,5,Semi-furnished,1,Lagos,555556.0
743,3bdrm Apartment in Ikeja Gra for sale,"Lagos State, Ikeja",Ikeja,360000000.0,150,3,4,Semi-furnished,1,Lagos,2400000.0
744,"4bdrm Duplex in Forthright, Isheri North for sale","Ojodu, Isheri North",Isheri North,160000000.0,350,4,5,Semi-furnished,1,Lagos,457143.0
745,"4bdrm Duplex in Opic Estate, Isheri North for sale","Ojodu, Isheri North",Isheri North,145000000.0,450,4,5,Unfurnished,1,Lagos,322222.0
746,3bdrm Block of Flats in Lifecamp for sale,"Gwarinpa, Life Camp",Life Camp,85000000.0,300,3,3,Unfurnished,1,Abuja,283333.0
747,5bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,380000000.0,450,5,5,Unfurnished,1,Abuja,844444.0
748,6bdrm Bungalow in Rumuokwurusi for sale,"Port-Harcourt, Rumuokwurusi",Rumuokwurusi,55000000.0,946,6,6,Unfurnished,1,Rivers,58140.0
749,4bdrm Duplex in Rumueprikom for sale,"Port-Harcourt, Rumueprikom",Rumueprikom,220000000.0,465,4,4,Semi-furnished,1,Rivers,473118.0
750,4bdrm Duplex in Lekki County for sale,"Lagos State, Lekki",Lekki,120000000.0,300,4,4,Unfurnished,1,Lagos,400000.0
751,5bdrm Duplex in Orchid Lekki for sale,"Lagos State, Lekki",Lekki,500000000.0,300,5,6,Unfurnished,1,Lagos,1666667.0
752,"3bdrm Apartment in Ikate, Lekki, Lagos for sale","Lekki, Ikate",Ikate,250000000.0,350,3,3,Unfurnished,1,Lagos,714286.0
753,Furnished 2bdrm Apartment in Ajah Lagos for sale,"Lagos State, Ajah",Ajah,115000000.0,200,2,3,Furnished,1,Lagos,575000.0
754,"4bdrm Duplex in Orchid, Lekki, Lagos for sale","Lagos State, Lekki",Lekki,175000000.0,300,4,5,Unfurnished,1,Lagos,583333.0
755,"2bdrm Apartment in Ikate, Lekki, Lagos for sale","Lekki, Ikate",Ikate,140000000.0,300,2,3,Unfurnished,1,Lagos,466667.0
756,"5bdrm Duplex in Chevron, Lekki, for sale","Lekki, Chevron",Chevron,550000000.0,450,5,5,Unfurnished,1,Lagos,1222222.0
757,4bdrm Duplex in Ikate Lekki for sale,"Lekki, Ikate",Ikate,350000000.0,200,4,5,Unfurnished,1,Lagos,1750000.0
758,"3bdrm Duplex in Abraham Adesanya, for sale","Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,160000000.0,350,3,3,Unfurnished,1,Lagos,457143.0
759,Furnished 2bdrm Apartment in Ikate Lekki Lagos for sale,"Lekki, Ikate",Ikate,130000000.0,200,2,3,Furnished,1,Lagos,650000.0
760,"2bdrm Duplex in Orchid, Lekki, Lagos for sale","Lagos State, Lekki",Lekki,100000000.0,400,2,2,Unfurnished,1,Lagos,250000.0
761,5bdrm Duplex in Ikota Lekki for sale,"Lekki, Ikota",Ikota,480000000.0,200,5,6,Unfurnished,1,Lagos,2400000.0
762,"4bdrm Duplex in Ajah Lagos, Lekki for sale","Lagos State, Lekki",Lekki,300000000.0,200,4,5,Unfurnished,1,Lagos,1500000.0
763,"5bdrm Duplex in Ajah, Lekki for sale","Lagos State, Lekki",Lekki,260000000.0,400,5,6,Unfurnished,1,Lagos,650000.0
